Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"02/01/2020","12 WHITECLIFF, WHITECHURCH RD, RATHFARNHAM DUBLIN 16","Dublin 16","Dublin","€565,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2020","125 MILL TOWN HALL, MT ST ANNES, MILLTOWN","Dublin 6","Dublin","€588,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2020","16 STRATFORD HAVEN, RATHGAR, DUBLIN 6","Dublin 6","Dublin","€232,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2020","20 ST EITHNE ROAD, CABRA, DUBLIN 7","","Dublin","€360,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2020","4 Belarmine View, Belarmine Woods, Stepaside","","Dublin","€555,066.07","No","Yes","New Dwelling house /Apartment",""
"02/01/2020","41 Fairhaven Avenue, Castleknock Road, Castleknock","","Dublin","€660,000.00","No","Yes","New Dwelling house /Apartment",""
"02/01/2020","5 WILLIAM BECKETT HOUSE, PEMBROKE ROW, DUBLIN","Dublin 2","Dublin","€624,600.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2020","7 HAYDENS PARK DR, LUCAN, DUBLIN","","Dublin","€478,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2020","7 MAPLEWOOD RD, SPRINGFIELD, TALLAGHT DUBLIN 24","Dublin 24","Dublin","€208,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2020","APARTMENT 311, SWIFTWOOD DEVELOPMENT, SAGGART","","Dublin","€250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2020","1 CHAPEL VIEW, LUCAN, DUBLIN","","Dublin","€250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2020","126 BALLINTEER CLOSE, BALLINTEER, DUBLIN 16","Dublin 16","Dublin","€640,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2020","17 INNISHMAAN RD, GAELTACHT PARK, WHITEHALL DUBLIN 9","Dublin 9","Dublin","€266,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2020","19 Proby Place  Proby Square, Carysfort Avenue, Blackrock","","Dublin","€881,057.27","No","Yes","New Dwelling house /Apartment",""
"03/01/2020","20 SWIFTBROOK PARK, TALLAGHT, DUBLIN 24","Dublin 24","Dublin","€140,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2020","21 MERRION VIEW AVE, MERRION RD, DUBLIN 4","Dublin 4","Dublin","€1,030,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2020","27 RAVENSDALE RD, EAST WALL, DUBLIN 3","Dublin 3","Dublin","€310,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2020","29 STATIONCOURT PARK, COOLMINE, DUBLIN 15","Dublin 15","Dublin","€277,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2020","31 The Grove, St. Marnocks Bay, Station Road","","Dublin","€308,370.00","No","Yes","New Dwelling house /Apartment",""
"03/01/2020","5 MARLAY VIEW, BALLINTEER AVE, DUBLIN 16","Dublin 16","Dublin","€335,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2020","66 COOLMINE PARK, CLONSILLA, DUBLIN 15","Dublin 15","Dublin","€330,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2020","83 MERRION PARK, BOOTERSTOWN, DUBLIN","","Dublin","€545,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2020","APT 2, BLOCK 22 RAILWAY RD, CLONGRIFFIN DUBLIN 13","Dublin 13","Dublin","€137,966.87","Yes","No","Second-Hand Dwelling house /Apartment",""
"06/01/2020","1 Grand Canal View, St. James's Terrace, Dolphin's Barn","","Dublin","€497,797.36","No","Yes","New Dwelling house /Apartment",""
"06/01/2020","10 PROBY HALL, KILLINEY RD, CO DUBLIN","","Dublin","€360,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2020","11 REDWOOD, HOLLYSTOWN, DUBLIN 15","Dublin 15","Dublin","€302,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2020","121 BOROIMHE BEECH, SWORDS, DUBLIN","","Dublin","€230,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2020","18 PINEVIEW PARK, AYLESBURY, TALLAGHT DUBLIN 24","Dublin 24","Dublin","€45,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2020","2 MOUNT SYMON AVE, CLONSILLA, DUBLIN 15","Dublin 15","Dublin","€365,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"06/01/2020","23 ST MICHAELS TERRACE, BLACKPITTS, CIRCULAR RD SOUTH DUBLIN 8","Dublin 8","Dublin","€435,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2020","28 Ardilaun Court, Sybil Hill Road, Raheny","","Dublin","€506,607.93","No","Yes","New Dwelling house /Apartment",""
