title,neighbourhood,propertyType,numBedrooms,numBathrooms,floorArea,price,rating,sellerId,longitude,latitude,pricePerBedroom,deltaAvgPrice,deltaMedianPrice,dublinNorthSouth,distToCity,daysSincePublished,numFood,numRecreation,numShop,Apartment,Bungalow,Detached,Duplex,End of Terrace,Semi-D,Site,Terrace,Townhouse,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,E1,E2,F,G,SI_666,ZZZ,labels,labels_2,labels_3,price_decile,price_bucket
"1 Moatfield Park, Coolock, Artane, Dublin 5",Dublin 5,Semi-D,3.0,1.0,91,380000.0,E2,453,-6.193117,53.388871,126666.66666666667,16177.570093457936,0.0,N,5.857172155771182,12,50,17,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,-1,5,Medium
"150 Broadford Rise, Ballinteer, Dublin 16",Dublin 16,Semi-D,3.0,2.0,102,495000.0,C3,49,-6.261108,53.27783,165000.0,12338.23529411765,-20000.0,S,8.366931770861294,9,46,9,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,-1,7,High
"Apartment 172, Block C, Dublin 7",Dublin 7,Apartment,1.0,1.0,51,250000.0,C1,1331,-6.277584,53.348715,250000.0,127430.10752688174,100000.0,N,1.387430770734987,16,51,11,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,2,Low
"1 Fitzgibbon Lane, Dublin 1",Dublin 1,Terrace,1.0,1.0,60,140000.0,G,11902,-6.256604,53.357853,140000.0,176105.26315789472,160000.0,N,0.5362317243128306,1,57,10,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,1,0,Low
"18A Fitzgibbon Street, Dublin 1",Dublin 1,Terrace,1.0,1.0,53,240000.0,D2,11902,-6.2566,53.357783,240000.0,76105.26315789472,60000.0,N,0.5286180580229899,1,57,10,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,1,1,Low
"11 Elmwood Close, Clonsilla, Dublin 15",Dublin 15,Semi-D,3.0,1.0,81,270000.0,D2,12,-6.424967,53.392171,90000.0,73274.28571428574,10000.0,N,11.890627304722445,4,45,7,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,1,-1,2,Low
"Apartment 20, Block C, Bridge Court, Shankill, Dublin 18",Dublin 18,Apartment,2.0,2.0,71,295000.0,C2,7425,-6.123654,53.231998,147500.0,224395.06172839506,130000.0,S,16.147277227549132,2,37,15,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,3,Medium
"15 The Belfry, Kilbarrack Road, Kilbarrack, Dublin 5",Dublin 5,Apartment,2.0,1.0,59,270000.0,C2,577,-6.152755,53.38856,135000.0,126177.57009345794,110000.0,N,8.01360218210128,4,33,15,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,2,-1,2,Low
"3 Castlegrange Terrace, Castaheany, Clonsilla, Dublin 15",Dublin 15,Semi-D,3.0,3.0,101,300000.0,B3,8666,-6.430057,53.397993,100000.0,43274.28571428574,-20000.0,N,12.449526039436805,5,42,8,23,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,3,Medium
"27 Smithfield Gate, Redcow Lane, Smithfield, Dublin 1",Dublin 1,Apartment,3.0,2.0,75,350000.0,D2,7483,-6.277353,53.349858,116666.66666666667,-33894.73684210528,-50000.0,N,1.333301333009022,1,51,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,2,5,Medium
